# Client and world-profile settings. Pipe-separated; run python catalog/build_catalog.py after editing.
# target: client-option (system\Option.ini) | client-l2ini (system\l2.ini, encrypted) | world-profile (L2Everdream-data\worlds\world-profile.json)
# editor: toggle | number | slider | choice | text | secret
# options: value=Label;value=Label (choice editor)
target|file|section|key|group|name|description|editor|valueType|options|unit|min|max|default|advanced|managedReason|secret
client-option|Option.ini|Audio|MusicVolume|clientaudio.volume|Music volume||slider|decimal|||0|1|1|0||0
client-option|Option.ini|Audio|WavVoiceVolume|clientaudio.volume|Voice volume||slider|decimal|||0|1|0.6|0||0
client-option|Option.ini|Audio|OggVoiceVolume|clientaudio.volume|NPC voice volume||slider|decimal|||0|1|0.6|0||0
client-option|Option.ini|Audio|AudioMuteOn|clientaudio.volume|Mute all sound||toggle|bool|||||False|0||0
# ---------------------------------------------------------------- Option.ini [Game]
client-option|Option.ini|Game|MyName|clientgame.names|Show my name||toggle|bool|||||True|0||0
client-option|Option.ini|Game|NPCName|clientgame.names|Show NPC names||toggle|bool|||||True|0||0
client-option|Option.ini|Game|OtherPCName|clientgame.names|Show other players' names||toggle|bool|||||True|0||0
client-option|Option.ini|Game|PartyMemberName|clientgame.names|Show party members' names||toggle|bool|||||True|0||0
client-option|Option.ini|Game|PledgeMemberName|clientgame.names|Show clan members' names||toggle|bool|||||True|0||0
client-option|Option.ini|Game|GroupName|clientgame.names|Show clan and alliance names||toggle|bool|||||True|0||0
client-option|Option.ini|Game|EnterChatting|clientgame.chat|Press Enter to start typing in chat||toggle|bool|||||True|0||0
client-option|Option.ini|Game|OldChatting|clientgame.chat|Classic chat window||toggle|bool|||||True|0||0
client-option|Option.ini|Game|SystemMsgWnd|clientgame.chat|Separate system message window||toggle|bool|||||False|0||0
client-option|Option.ini|Game|SystemMsgWndDamage|clientgame.chat|…show damage messages there||toggle|bool|||||False|0||0
client-option|Option.ini|Game|SystemMsgWndExpendableItem|clientgame.chat|…show item use messages there||toggle|bool|||||False|0||0
client-option|Option.ini|Game|ShowGameTipMsg|clientgame.chat|Show game tips||toggle|bool|||||False|0||0
client-option|Option.ini|Game|ShowZoneTitle|clientgame.interface|Show zone names when entering an area||toggle|bool|||||True|0||0
client-option|Option.ini|Game|HideDropItem|clientgame.interface|Hide items on the ground||toggle|bool|||||False|0||0
client-option|Option.ini|Game|TransparencyMode|clientgame.interface|See-through interface windows||toggle|bool|||||True|0||0
client-option|Option.ini|Game|IsRejectingDuel|clientgame.interface|Refuse duel requests||toggle|bool|||||False|0||0
client-option|Option.ini|Game|PartyLooting|clientgame.interface|Default party loot rule||choice|int|0=Finders keepers;1=Random;2=Random including spoil;3=By turn;4=By turn including spoil||||0|0||0
client-option|Option.ini|Game|ScreenShotQuality|clientgame.interface|Screenshot format||choice|int|0=0;1=1;2=2||||0|1||0
client-option|Option.ini|Game|IsLockShortcutWnd|clientgame.interface|Lock the shortcut bar||toggle|bool|||||False|0||0
client-option|Option.ini|Game|Is1ExpandShortcutWnd|clientgame.interface|Show second shortcut bar||toggle|bool|||||False|0||0
client-option|Option.ini|Game|Is2ExpandShortcutWnd|clientgame.interface|Show third shortcut bar||toggle|bool|||||False|0||0
client-option|Option.ini|Game|IsShortcutWndVertical|clientgame.interface|Vertical shortcut bar||toggle|bool|||||False|0||0
client-option|Option.ini|Game|ArrowMode|clientgame.camera|Arrow keys turn the camera||toggle|bool|||||True|0||0
client-option|Option.ini|Game|AutoTrackingPawn|clientgame.camera|Camera follows your character||toggle|bool|||||True|0||0
client-option|Option.ini|Game|IsNative|clientgame.camera|Native mouse movement||toggle|bool|||||True|1||0
# ---------------------------------------------------------------- l2.ini (encrypted)
client-l2ini|l2.ini|URL|ServerAddr|clientconn.server|Server address|The login server the client connects to. 127.0.0.1 is your own world.|text|string||||||0|Written by the L2Everdream launcher every time you press Play (your world, the official world, or a friend's IP).|0
client-l2ini|l2.ini|URL|Port|clientconn.server|Game port||number|int|||1|65535|7777|1||0
client-l2ini|l2.ini|AutoLogOn|IsL2AutoLogOn|clientconn.autologin|Log in automatically|Skip the login screen using the account below. Stored in plain text inside l2.ini.|toggle|bool|||||False|0||0
client-l2ini|l2.ini|AutoLogOn|L2ID|clientconn.autologin|Account name||text|string||||||0||0
client-l2ini|l2.ini|AutoLogOn|L2Passwd|clientconn.autologin|Account password|Hidden here, but stored in plain text inside l2.ini.|secret|string||||||0||1
client-l2ini|l2.ini|AutoLogOn|L2Slot|clientconn.autologin|Character slot to enter||number|int|||0|7|0|0||0
client-l2ini|l2.ini|WinDrv.WindowsClient|WindowedViewportX|clientgfx.window|Windowed mode width||number|int||px|640|7680|640|0||0
client-l2ini|l2.ini|WinDrv.WindowsClient|WindowedViewportY|clientgfx.window|Windowed mode height||number|int||px|480|4320|480|0||0
client-l2ini|l2.ini|WinDrv.WindowsClient|FullscreenViewportX|clientgfx.window|Full screen width (engine)||number|int||px|640|7680|1024|1||0
client-l2ini|l2.ini|WinDrv.WindowsClient|FullscreenViewportY|clientgfx.window|Full screen height (engine)||number|int||px|480|4320|768|1||0
client-l2ini|l2.ini|URL|ForceAspectRatio|clientgfx.display|Force aspect ratio||toggle|bool|||||False|1||0
client-l2ini|l2.ini|URL|AspectRatio|clientgfx.display|Aspect ratio|1.334 = 4:3, 1.778 = 16:9.|number|decimal|||1|3|1.334|1||0
client-l2ini|l2.ini|CharacterDisplay|Name|clientgame.names|Show names above characters (engine)||toggle|bool|||||true|1||0
client-l2ini|l2.ini|CharacterDisplay|Dist|clientgame.names|Name display distance||number|int|||0|10000|1000|0||0
client-l2ini|l2.ini|ClippingRange|PawnMax|clientgfx.distance|Engine: farthest character distance||number|decimal|||0|20|3|1||0
client-l2ini|l2.ini|ClippingRange|PawnMin|clientgfx.distance|Engine: nearest character distance||number|decimal|||0|20|1.5|1||0
client-l2ini|l2.ini|ClippingRange|Terrain|clientgfx.distance|Engine: terrain distance||number|decimal|||0|20|8|1||0
client-l2ini|l2.ini|ClippingRange|StaticMesh|clientgfx.distance|Engine: building distance||number|decimal|||0|20|4|1||0
client-l2ini|l2.ini|ClippingRange|Actor|clientgfx.distance|Engine: object distance||number|decimal|||0|20|4|1||0
client-l2ini|l2.ini|Engine.GameEngine|CacheSizeMegs|clientgfx.detail|Engine cache size||number|int||MB|16|512|32|1||0
client-l2ini|l2.ini|LanguageSet|Language|clientgame.language|Client language|0 = Korean, 1 = English, 2 = Japanese.|number|int|||0|10|0|1||0
client-l2ini|l2.ini|FontSet|Font|clientgame.language|Interface font package||text|string||||||1||0
client-l2ini|l2.ini|FontSet|Glyph|clientgame.language|Interface font glyph file||text|string||||||1||0
