# Friendly names for server settings. Pipe-separated; edit freely, then run: python catalog/build_catalog.py
# target      = server-game or server-login
# file        = path under config/ exactly as on disk
# key         = the real setting name in the file (never change this column)
# name        = what the config manager shows
# unit        = optional unit shown beside the value (×, %, seconds, ms, minutes, hours, days, adena, ...)
# description = optional; replaces the file's own comment when the comment is unhelpful
target|file|key|name|unit|description
server-game|Player.ini|EnableModifySkillDuration|Use custom skill durations||Turns on the list of skills with their own duration below. Takes effect the next time the world starts.
server-game|Player.ini|SkillDurationList|Custom skill durations||Choose skills and how long their effect lasts, up to 12 hours. The server uses the new duration for everyone who casts the skill (you, simulated players and monsters). Takes effect the next time the world starts.
server-game|Player.ini|EnableModifySkillReuse|Use custom skill cooldowns||
server-game|Player.ini|SkillReuseList|Custom skill cooldowns||Format: skillId,milliseconds;skillId,milliseconds.
server-game|Player.ini|AutoLearnSkills|Learn class skills automatically||
server-game|Player.ini|AutoLearnSkillsWithoutItems|Also auto-learn skills that normally need a book||
server-game|Player.ini|AutoLearnForgottenScrollSkills|Also auto-learn Forgotten Scroll skills||
server-game|Player.ini|ShowEffectMessagesOnLogin|Show buff messages in chat on login||
server-game|Player.ini|MaxBuffAmount|Buff slots||Divine Inspiration adds up to 4 more.
server-game|Player.ini|MaxDanceAmount|Song and dance slots||
server-game|Player.ini|DanceCancelBuff|Let players cancel songs/dances with Alt+click||
server-game|Player.ini|DanceConsumeAdditionalMP|Songs and dances cost extra MP when stacked||
server-game|Player.ini|AltStoreDances|Keep songs and dances after logging out||
server-game|Player.ini|AltStoreToggles|Keep toggle skills after logging out||
server-game|Player.ini|AutoLearnDivineInspiration|Learn Divine Inspiration automatically||
server-game|Player.ini|AltGameCancelByHit|Getting hit interrupts||
server-game|Player.ini|MagicFailures|Spells can miss||
server-game|Player.ini|PlayerFakeDeathUpProtection|Protection from monsters after standing up from Fake Death|seconds|
server-game|Player.ini|StoreSkillCooltime|Keep buffs and cooldowns after logging out||
server-game|Player.ini|SubclassStoreSkillCooltime|Keep buffs and cooldowns when switching subclass||
server-game|Player.ini|AltShieldBlocks|Alternative shield block formula||
server-game|Player.ini|AltPerfectShieldBlockRate|Perfect shield block chance|%|
server-game|Player.ini|EffectTickRatio|Over-time effect tick length|ms|
server-game|Player.ini|FakeDeathUntarget|Fake Death removes you from monsters' target||
server-game|Player.ini|FakeDeathDamageStand|Taking damage ends Fake Death||
server-game|Player.ini|CalculateMagicSuccessBySkillMagicLevel|Debuff success uses the skill's magic level||
server-game|Player.ini|DistanceBowDamage|Bow damage depends on distance||
server-game|Player.ini|LifeCrystalNeeded|Clan skills require Life Crystals||
server-game|Player.ini|EnchantSkillSpBookNeeded|Skill enchanting requires Giant's Codex books||
server-game|Player.ini|DivineInspirationSpBookNeeded|Divine Inspiration requires its book||
server-game|Player.ini|AltGameSkillLearn|Any class can learn any skill (at extra SP cost)||
server-game|Player.ini|AltSubClassWithoutQuests|Subclasses without doing the quests||
server-game|Player.ini|AltSubclassEverywhere|Add or change subclass at any village master||
server-game|Player.ini|FeeDeleteTransferSkills|Price to remove transfer skills|adena|
server-game|Player.ini|SummonStoreSkillCooltime|Pets and summons keep buffs after logging out||
server-game|Player.ini|RestoreServitorOnReconnect|Re-summon servitors on login||
server-game|Player.ini|RestorePetOnReconnect|Re-summon pets on login||
server-game|Player.ini|EnableVitality|Enable the vitality system||
server-game|Player.ini|RecoverVitalityOnReconnect|Recover vitality while offline||
server-game|Player.ini|StartingVitalityPoints|Vitality points for new characters||
server-game|Player.ini|RaidbossUseVitality|Raid boss kills use vitality||
server-game|Player.ini|MaxExpBonus|Highest total experience bonus|times|
server-game|Player.ini|MaxSpBonus|Highest total skill point bonus|times|
server-game|Player.ini|MaxRunSpeed|Highest running speed||
server-game|Player.ini|MaxPAtk|Highest P. Atk.||
server-game|Player.ini|MaxMAtk|Highest M. Atk.||
server-game|Player.ini|MaxPCritRate|Highest physical critical rate||10 = 1%.
server-game|Player.ini|MaxMCritRate|Highest magic critical rate||10 = 1%.
server-game|Player.ini|MaxPAtkSpeed|Highest attack speed||
server-game|Player.ini|MaxMAtkSpeed|Highest casting speed||
server-game|Player.ini|MaxEvasion|Highest evasion||
server-game|Player.ini|MinAbnormalStateSuccessRate|Lowest debuff success chance|%|
server-game|Player.ini|MaxAbnormalStateSuccessRate|Highest debuff success chance|%|
server-game|Player.ini|MaxSp|Most skill points a character can hold||
server-game|Player.ini|MaximumPlayerLevel|Maximum character level||Cannot be higher than the experience table allows (80 in Interlude).
server-game|Player.ini|MaxSubclass|Number of subclasses allowed||
server-game|Player.ini|BaseSubclassLevel|Level a new subclass starts at||
server-game|Player.ini|MaxSubclassLevel|Maximum subclass level||
server-game|Player.ini|MaxPvtStoreSellSlotsDwarf|Private sell store slots (dwarves)||
server-game|Player.ini|MaxPvtStoreSellSlotsOther|Private sell store slots (other races)||
server-game|Player.ini|MaxPvtStoreBuySlotsDwarf|Private buy store slots (dwarves)||
server-game|Player.ini|MaxPvtStoreBuySlotsOther|Private buy store slots (other races)||
server-game|Player.ini|MaximumSlotsForNoDwarf|Inventory slots (other races)||
server-game|Player.ini|MaximumSlotsForDwarf|Inventory slots (dwarves)||
server-game|Player.ini|MaximumSlotsForGMPlayer|Inventory slots (Game Masters)||
server-game|Player.ini|MaximumWarehouseSlotsForDwarf|Warehouse slots (dwarves)||Must stay below 300 or the client crashes.
server-game|Player.ini|MaximumWarehouseSlotsForNoDwarf|Warehouse slots (other races)||Must stay below 300 or the client crashes.
server-game|Player.ini|MaximumWarehouseSlotsForClan|Clan warehouse slots||Must stay below 300 or the client crashes.
server-game|Player.ini|MaximumFreightSlots|Freight slots||
server-game|Player.ini|FreightPrice|Freight price per item|adena|
server-game|Player.ini|NpcTalkBlockingTime|Can't move for this long after talking to an NPC|seconds|
server-game|Player.ini|EnchantBlackList|Items that can never be enchanted||Comma-separated item IDs.
server-game|Player.ini|DisableOverEnchanting|Stop enchanting at the maximum instead of breaking rules||
server-game|Player.ini|OverEnchantProtection|Punish players found with over-enchanted items||
server-game|Player.ini|OverEnchantPunishment|Punishment for over-enchanted items||
server-game|Player.ini|AugmentationNGSkillChance|Skill chance: no-grade life stone|%|
server-game|Player.ini|AugmentationMidSkillChance|Skill chance: mid-grade life stone|%|
server-game|Player.ini|AugmentationHighSkillChance|Skill chance: high-grade life stone|%|
server-game|Player.ini|AugmentationTopSkillChance|Skill chance: top-grade life stone|%|
server-game|Player.ini|AugmentationBaseStatChance|Chance of a base stat bonus|%|
server-game|Player.ini|AugmentationNGGlowChance|Glow chance: no-grade life stone|%|
server-game|Player.ini|AugmentationMidGlowChance|Glow chance: mid-grade life stone|%|
server-game|Player.ini|AugmentationHighGlowChance|Glow chance: high-grade life stone|%|
server-game|Player.ini|AugmentationTopGlowChance|Glow chance: top-grade life stone|%|
server-game|Player.ini|RetailLikeAugmentation|Retail-like augmentation colors||
server-game|Player.ini|RetailLikeAugmentationNoGradeChance|Color odds: no-grade life stone||Yellow, blue, purple, red — must add up to 100.
server-game|Player.ini|RetailLikeAugmentationMidGradeChance|Color odds: mid-grade life stone||Yellow, blue, purple, red — must add up to 100.
server-game|Player.ini|RetailLikeAugmentationHighGradeChance|Color odds: high-grade life stone||Yellow, blue, purple, red — must add up to 100.
server-game|Player.ini|RetailLikeAugmentationTopGradeChance|Color odds: top-grade life stone||Yellow, blue, purple, red — must add up to 100.
server-game|Player.ini|AugmentationBlackList|Items that can never be augmented||Comma-separated item IDs.
server-game|Player.ini|AltAllowAugmentPvPItems|Allow augmenting PvP items||
server-game|Player.ini|AltAllowAugmentTrade|Allow trading augmented items||
server-game|Player.ini|AltAllowAugmentDestroy|Allow destroying augmented items||
server-game|Player.ini|SoulCrystalChanceMultiplier|Soul crystal leveling chance|times|
server-game|Player.ini|AltKarmaPlayerCanBeKilledInPeaceZone|Players with karma can be killed in towns||
server-game|Player.ini|AltKarmaPlayerCanUseGK|Players with karma can use gatekeepers||
server-game|Player.ini|AltKarmaPlayerCanTeleport|Players with karma can use escape and recall||
server-game|Player.ini|AltKarmaPlayerCanShop|Players with karma can use shops||
server-game|Player.ini|AltKarmaPlayerCanTrade|Players with karma can trade||
server-game|Player.ini|AltKarmaPlayerCanUseWareHouse|Players with karma can use the warehouse||
server-game|Player.ini|EnableFameSystem|Enable fame||
server-game|Player.ini|MaxPersonalFamePoints|Most fame a player can have||
server-game|Player.ini|FortressZoneFameTaskFrequency|Fortress siege: fame every|seconds|
server-game|Player.ini|FortressZoneFameAquirePoints|Fortress siege: fame gained||
server-game|Player.ini|CastleZoneFameTaskFrequency|Castle siege: fame every|seconds|
server-game|Player.ini|CastleZoneFameAquirePoints|Castle siege: fame gained||
server-game|Player.ini|FameForDeadPlayers|Dead players still earn fame||
server-game|Player.ini|CraftingEnabled|Allow crafting||
server-game|Player.ini|DwarfRecipeLimit|Dwarven recipe book size||
server-game|Player.ini|CommonRecipeLimit|Common recipe book size||
server-game|Player.ini|AltGameCreation|Crafting takes time and gives experience||
server-game|Player.ini|AltGameCreationSpeed|Crafting time|times|
server-game|Player.ini|AltGameCreationXpRate|Crafting experience|times|
server-game|Player.ini|AltGameCreationSpRate|Crafting skill points|times|
server-game|Player.ini|AltBlacksmithUseRecipes|Blacksmiths use up recipes||
server-game|Player.ini|StoreRecipeShopList|Remember private workshop lists after logout||
server-game|Player.ini|AltClanLeaderInstantActivation|Clan leader changes happen instantly||
server-game|Player.ini|DaysBeforeJoinAClan|Wait before joining another clan|days|
server-game|Player.ini|DaysBeforeCreateAClan|Wait before creating a new clan|days|
server-game|Player.ini|DaysToPassToDissolveAClan|Time to dissolve a clan|days|
server-game|Player.ini|DaysBeforeJoinAllyWhenLeaved|Wait before joining an alliance after leaving one|days|
server-game|Player.ini|DaysBeforeJoinAllyWhenDismissed|Wait before joining an alliance after being dismissed|days|
server-game|Player.ini|DaysBeforeAcceptNewClanWhenDismissed|Wait before an alliance accepts a new clan after dismissing one|days|
server-game|Player.ini|DaysBeforeCreateNewAllyWhenDissolved|Wait before creating an alliance after dissolving one|days|
server-game|Player.ini|AltMaxNumOfClansInAlly|Clans per alliance||
server-game|Player.ini|AltMembersCanWithdrawFromClanWH|Clan members can take items from the clan warehouse||
server-game|Player.ini|RemoveCastleCirclets|Remove castle circlets when the castle is lost||
server-game|Player.ini|AltClanMembersForWar|Clan members needed to declare war||
server-game|Player.ini|AltNewCharAlwaysIsNewbie|Every new character on an account counts as a newbie||
server-game|Player.ini|AltPartyRange|Party reward range||Party members farther than this from the kill get no share.
server-game|Player.ini|AltLeavePartyLeader|When the leader leaves, pass leadership instead of disbanding||
server-game|Player.ini|StartingAdena|Starting adena|adena|
server-game|Player.ini|StartingLevel|Starting level||
server-game|Player.ini|StartingSP|Starting skill points||
server-game|Player.ini|MaxAdena|Most adena a character can hold|adena|Characters can never hold more than this, however much drops. The Characters tab also uses it as the adena limit.
server-game|Player.ini|AutoLootHerbs|Pick up herbs automatically||
server-game|Player.ini|AutoLoot|Pick up monster drops automatically||
server-game|Player.ini|AutoLootRaids|Pick up raid boss drops automatically||
server-game|Player.ini|AutoLootSlotLimit|Drop to the ground when the inventory is full||
server-game|Player.ini|RaidLootRightsInterval|Raid loot priority time for command channels|seconds|
server-game|Player.ini|RaidLootRightsCCSize|Command channel size needed for raid loot priority||
server-game|Player.ini|AutoLootItemIds|Always auto-pick these items||Comma-separated item IDs. 0 = none.
server-game|Player.ini|KeyboardMovement|Allow moving with the keyboard||
server-game|Player.ini|UnstuckInterval|/unstuck casting time|seconds|
server-game|Player.ini|TeleportWatchdogTimeout|Force a stuck teleport to finish after|seconds|
server-game|Player.ini|PlayerSpawnProtection|Protection after entering the world|seconds|
server-game|Player.ini|PlayerTeleportProtection|Protection after teleporting|seconds|
server-game|Player.ini|RandomRespawnInTownEnabled|Respawn at random spots in town||
server-game|Player.ini|OffsetOnTeleportEnabled|Scatter teleport arrival points slightly||
server-game|Player.ini|MaxOffsetOnTeleport|Teleport scatter distance||
server-game|Player.ini|TeleportWhileSiegeInProgress|Allow teleporting into a siege||
server-game|Player.ini|PetitioningAllowed|Allow petitions to GMs||
server-game|Player.ini|MaxPetitionsPerPlayer|Petitions per player||
server-game|Player.ini|MaxPetitionsPending|Petitions waiting in total||
server-game|Player.ini|MaxFreeTeleportLevel|Teleports are free up to level||0 = teleports always cost adena.
server-game|Player.ini|AltRecommend|Recommend the same player more than once a day||
server-game|Player.ini|DeleteCharAfterDays|Character deletion waiting time|days|0 = characters cannot be deleted.
server-game|Player.ini|DisconnectAfterDeath|Disconnect players who stay dead for an hour||
server-game|Player.ini|PartyXpCutoffMethod|Party experience sharing rule||
server-game|Player.ini|PartyXpCutoffPercent|Sharing rule "percentage": cutoff|%|
server-game|Player.ini|PartyXpCutoffLevel|Sharing rule "level": level gap cutoff|levels|
server-game|Player.ini|PartyXpCutoffGaps|Sharing rule "highfive": level gap ranges||
server-game|Player.ini|PartyXpCutoffGapPercent|Sharing rule "highfive": XP percent per range||
server-game|Player.ini|DisableTutorial|Turn off the newbie tutorial||
server-game|Player.ini|ExpertisePenalty|Penalty for wearing gear above your grade||
server-game|Player.ini|ForbiddenNames|Words not allowed in character names||Comma-separated.
server-game|Player.ini|SilenceModeExclude|Messaging someone lets them reply while you are in silence mode||
server-game|Player.ini|AltValidateTriggerSkills|Triggered PvP skills never hit unflagged players||
server-game|Player.ini|RandomizeAutoAttackDamage|Random damage variation on normal attacks||
server-game|Player.ini|RandomizePhysicalSkillDamage|Random damage variation on physical skills||
server-game|Player.ini|RandomizeMagicalSkillDamage|Random damage variation on magic skills||
# ---------------------------------------------------------------- General.ini
server-game|General.ini|EverybodyHasAdminRights|Every new character is an administrator||Do not turn this on unless you really mean it.
server-game|General.ini|ServerGMOnly|Only Game Masters can log in||
server-game|General.ini|GMHeroAura|GMs glow with the hero aura||
server-game|General.ini|GMStartupBuilderHide|GMs log in hidden in builder mode||
server-game|General.ini|GMStartupInvulnerable|GMs log in invulnerable||
server-game|General.ini|GMStartupInvisible|GMs log in invisible||
server-game|General.ini|GMStartupSilence|GMs log in blocking private messages||
server-game|General.ini|GMStartupAutoList|GMs appear in /gmlist on login||
server-game|General.ini|GMStartupDietMode|GMs log in without weight penalty||
server-game|General.ini|GMItemRestriction|Item restrictions apply to GMs||
server-game|General.ini|GMSkillRestriction|Skill restrictions apply to GMs||
server-game|General.ini|GMTradeRestrictedItems|GMs can trade or drop untradable items||
server-game|General.ini|GMRestartFighting|GMs can restart or exit while fighting||
server-game|General.ini|GMShowAnnouncerName|Show the GM's name after announcements||
server-game|General.ini|GMShowCritAnnouncerName|Show the GM's name before critical announcements||
server-game|General.ini|GMGiveSpecialSkills|Give GMs the special GM skills||
server-game|General.ini|GMGiveSpecialAuraSkills|Give GMs the special aura skills||
server-game|General.ini|GMDebugHtmlPaths|Show HTML file paths to GMs||
server-game|General.ini|UseSuperHasteAsGMSpeed|Use the old Super Haste for //gmspeed||
server-game|General.ini|LogChat|Log all chat||
server-game|General.ini|LogItems|Log item movement||
server-game|General.ini|LogItemsSmallLog|Item log: only adena and equipment||
server-game|General.ini|LogItemsIdsOnly|Item log: only the listed items||
server-game|General.ini|LogItemsIdsList|Item log: item IDs to log||
server-game|General.ini|LogItemEnchants|Log item enchanting||
server-game|General.ini|LogSkillEnchants|Log skill enchanting||
server-game|General.ini|GMAudit|Log GM actions||
server-game|General.ini|SkillCheckEnable|Check players for skills they should not have||
server-game|General.ini|SkillCheckRemove|Remove skills players should not have||
server-game|General.ini|SkillCheckGM|Also check Game Masters' skills||
server-game|General.ini|AllowDiscardItem|Players can drop items on the ground||
server-game|General.ini|AutoDestroyDroppedItemAfter|Remove dropped items after|seconds|0 = never.
server-game|General.ini|AutoDestroyHerbTime|Remove dropped herbs after|seconds|
server-game|General.ini|ListOfProtectedItems|Items never removed from the ground||Comma-separated item IDs.
server-game|General.ini|CharacterDataStoreInterval|Save characters every|minutes|0 = only on logout.
server-game|General.ini|LazyItemsUpdate|Save items only with the character||Faster, but items can be lost if the server crashes.
server-game|General.ini|UpdateItemsOnCharStore|Always save items when saving the character||
server-game|General.ini|DestroyPlayerDroppedItem|Also remove items dropped by players||
server-game|General.ini|DestroyEquipableItem|Also remove equipment dropped by players||
server-game|General.ini|DestroyAllItems|Players can destroy any item||
server-game|General.ini|SaveDroppedItem|Keep items on the ground through restarts||
server-game|General.ini|EmptyDroppedItemTableAfterLoad|Clear saved ground items after loading them||
server-game|General.ini|SaveDroppedItemInterval|Save ground items every|minutes|
server-game|General.ini|ClearDroppedItemTable|Delete all saved ground items on next start||
server-game|General.ini|AutoDeleteInvalidQuestData|Delete broken quest data from characters||
server-game|General.ini|MultipleItemDrop|Allow dropping several non-stackable items at once||
server-game|General.ini|HtmCache|Load all NPC dialogs at startup||
server-game|General.ini|CheckHtmlEncoding|Warn about non-English characters in NPC dialogs||
server-game|General.ini|MinNpcAnimation|NPC idle animation: shortest delay|seconds|
server-game|General.ini|MaxNpcAnimation|NPC idle animation: longest delay|seconds|
server-game|General.ini|MinMonsterAnimation|Monster idle animation: shortest delay|seconds|
server-game|General.ini|MaxMonsterAnimation|Monster idle animation: longest delay|seconds|
server-game|General.ini|GridsAlwaysOn|Keep every world region active||Uses much more CPU. Not recommended.
server-game|General.ini|GridNeighborTurnOnTime|Wake nearby regions after|seconds|
server-game|General.ini|GridNeighborTurnOffTime|Sleep empty regions after|seconds|
server-game|General.ini|CorrectPrices|Fix shop prices that are below the sell price||
server-game|General.ini|MultisellAmountLimit|Most items per multisell exchange||
server-game|General.ini|EnableFallingDamage|Falling damage||
server-game|General.ini|DebuffDurationUsesResists|Resistances shorten debuffs||
server-game|General.ini|PeaceZoneMode|Town PvP rules||
server-game|General.ini|GlobalChat|Shout chat (!)||
server-game|General.ini|TradeChat|Trade chat (+)||
server-game|General.ini|MinimumChatLevel|Level needed to chat||0 = no limit.
server-game|General.ini|AllowWarehouse|Allow warehouses||
server-game|General.ini|AllowRefund|Allow selling back to NPC shops (refund)||
server-game|General.ini|AllowWear|Allow trying on gear in shops||
server-game|General.ini|WearDelay|Try-on lasts|seconds|
server-game|General.ini|WearPrice|Try-on price|adena|
server-game|General.ini|AltVillagesRepQuestReward|No bonus adena for turning in 10+ items to village quests||
server-game|General.ini|RestorePlayerInstance|Return players to their instance on login||
server-game|General.ini|AllowSummonInInstance|Summon friends into instances||
server-game|General.ini|EjectDeadPlayerTime|Remove dead players from an instance after|seconds|
server-game|General.ini|DefaultFinishTime|Close a finished instance after|seconds|
server-game|General.ini|AllowRace|Allow monster races||
server-game|General.ini|AllowWater|Allow swimming||
server-game|General.ini|AllowFishing|Allow fishing||
server-game|General.ini|AllowBoat|Allow boats||
server-game|General.ini|BoatBroadcastRadius|Boat announcement range||
server-game|General.ini|AllowCursedWeapons|Enable cursed weapons (Zariche, Akamanah)||The two cursed swords that can drop from monsters and make their holder very powerful.
server-game|General.ini|AllowPartyInSameEvent|Allow parties inside the same event||
server-game|General.ini|ShowServerNews|Show server news on login||
server-game|General.ini|EnableCommunityBoard|Enable the Community Board (Alt+B)||
server-game|General.ini|BBSDefault|Community Board start page||
server-game|General.ini|UseChatFilter|Filter bad words in chat||
server-game|General.ini|ChatFilterChars|Replace filtered words with||
server-game|General.ini|BanChatChannels|Channels blocked by a chat ban||Separate channel names with ;
server-game|General.ini|AllowManor|Enable the manor||
server-game|General.ini|AltManorRefreshTime|Manor refresh hour|hour|
server-game|General.ini|AltManorRefreshMin|Manor refresh minute|minute|
server-game|General.ini|AltManorApproveTime|Manor approval hour|hour|
server-game|General.ini|AltManorApproveMin|Manor approval minute|minute|
server-game|General.ini|AltManorMaintenanceMin|Manor maintenance length|minutes|
server-game|General.ini|AltManorSaveAllActions|Save the manor after every action||
server-game|General.ini|AltManorSavePeriodRate|Save the manor every|hours|
server-game|General.ini|AllowLottery|Enable the lottery||
server-game|General.ini|AltLotteryPrize|Starting jackpot|adena|
server-game|General.ini|AltLotteryTicketPrice|Ticket price|adena|
server-game|General.ini|AltLottery5NumberRate|Share of jackpot for 5 numbers||0.6 = 60%.
server-game|General.ini|AltLottery4NumberRate|Share of jackpot for 4 numbers||
server-game|General.ini|AltLottery3NumberRate|Share of jackpot for 3 numbers||
server-game|General.ini|AltLottery2and1NumberPrize|Prize for 2 or fewer numbers|adena|
server-game|General.ini|AltFishChampionshipEnabled|Enable the fishing championship||
server-game|General.ini|AltFishChampionshipRewardItemId|Prize item ID||57 = adena.
server-game|General.ini|AltFishChampionshipReward1|1st place prize||
server-game|General.ini|AltFishChampionshipReward2|2nd place prize||
server-game|General.ini|AltFishChampionshipReward3|3rd place prize||
server-game|General.ini|AltFishChampionshipReward4|4th place prize||
server-game|General.ini|AltFishChampionshipReward5|5th place prize||
server-game|General.ini|AltItemAuctionEnabled|Enable the item auction||
server-game|General.ini|AltItemAuctionExpiredAfter|Delete finished auctions after|days|
server-game|General.ini|AltItemAuctionTimeExtendsOnBid|Extend an auction on each new bid by|seconds|
server-game|General.ini|RiftMinPartySize|Smallest party allowed in the rift||
server-game|General.ini|MaxRiftJumps|Room jumps before being sent back||
